time/total_timesteps,rollout/exploration_rate,train/n_updates,train/learning_rate,train/loss,time/time_elapsed,rollout/ep_rew_mean,time/fps,rollout/ep_len_mean,time/episodes
339949,0.5,84962,0.0001,1.8331951650907286e-05,1340,-33.552803440000005,253,354.67,956
341389,0.5,85322,0.0001,5.1532821089494973e-05,1347,-33.55145788,253,354.67,960
342829,0.5,85682,0.0001,0.0007024721126072109,1353,-33.53607995,253,354.67,964
344269,0.5,86042,0.0001,4.291812001611106e-05,1364,-33.54106395,252,354.67,968
345524,0.5,86355,0.0001,0.0009621857316233218,1371,-33.30745786000001,251,352.82,972
346964,0.5,86715,0.0001,0.00014586882025469095,1379,-33.30441638,251,352.82,976
348404,0.5,87075,0.0001,0.00010460984776727855,1388,-33.29799398,250,352.82,980
349844,0.5,87435,0.0001,7.258247933350503e-05,1396,-33.31076095,250,352.82,984
351222,0.5,87780,0.0001,0.00011830558651126921,1408,-33.171500220000006,249,352.2,988
352662,0.5,88140,0.0001,4.803062984137796e-05,1415,-33.173878589999994,249,352.2,992
354102,0.5,88500,0.0001,0.0003474827390164137,1421,-33.175685009999995,249,352.2,996
355542,0.5,88860,0.0001,0.00020445167319849133,1427,-33.179246860000006,249,352.2,1000
356982,0.5,89220,0.0001,9.635298192733899e-05,1433,-33.53321727,249,354.72,1004
358422,0.5,89580,0.0001,3.807841130765155e-05,1439,-33.53778806,248,354.72,1008
359862,0.5,89940,0.0001,4.893294317298569e-05,1445,-33.558712209999996,248,354.72,1012
361302,0.5,90300,0.0001,7.409029785776511e-05,1451,-33.55691832,248,354.72,1016
362742,0.5,90660,0.0001,2.790592043311335e-05,1457,-33.55670412,248,354.72,1020
364182,0.5,91020,0.0001,0.0003166143433190882,1463,-33.5586519,248,354.72,1024
365622,0.5,91380,0.0001,4.924799577565864e-05,1469,-33.81949702000001,248,356.47,1028
367062,0.5,91740,0.0001,0.00012587811215780675,1475,-33.80864543,248,356.47,1032
368401,0.5,92075,0.0001,0.00010137114441022277,1480,-33.78135806,248,356.52,1036
369841,0.5,92435,0.0001,0.001380119938403368,1487,-33.776831740000006,248,356.52,1040
371281,0.5,92795,0.0001,4.378676021588035e-05,1492,-33.778325640000006,248,356.52,1044
372680,0.5,93144,0.0001,3.603519144235179e-05,1496,-33.71340599,249,356.11,1048
374120,0.5,93504,0.0001,0.00010473949078004807,1501,-33.699029620000005,249,356.11,1052
375560,0.5,93864,0.0001,8.330976561410353e-05,1506,-33.70323997,249,356.11,1056
377000,0.5,94224,0.0001,0.00017054504132829607,1511,-33.67503111,249,356.11,1060
378440,0.5,94584,0.0001,0.0010155974887311459,1516,-33.69093215,249,356.11,1064
379880,0.5,94944,0.0001,9.947162470780313e-05,1521,-33.69740374,249,356.11,1068
381320,0.5,95304,0.0001,0.00021219364134594798,1526,-33.93084695,249,357.96,1072
382760,0.5,95664,0.0001,5.5688273278065026e-05,1531,-33.86721177,249,357.96,1076
383918,0.5,95954,0.0001,0.0003246209234930575,1535,-33.57318021,250,355.14,1080
385358,0.5,96314,0.0001,2.967032924061641e-05,1540,-33.56940362,250,355.14,1084
386798,0.5,96674,0.0001,2.4697004846530035e-05,1545,-33.71924809,250,355.76,1088
388238,0.5,97034,0.0001,3.902424214174971e-05,1550,-33.71986367,250,355.76,1092
389678,0.5,97394,0.0001,0.00035489958827383816,1556,-33.7129115,250,355.76,1096
391118,0.5,97754,0.0001,0.0001224022707901895,1563,-33.68675452,250,355.76,1100
392558,0.5,98114,0.0001,4.628881288226694e-05,1567,-33.68936177,250,355.76,1104
393998,0.5,98474,0.0001,8.208215149352327e-05,1572,-33.70087295999999,250,355.76,1108
395438,0.5,98834,0.0001,0.00023579382104799151,1576,-33.69116696,250,355.76,1112
396878,0.5,99194,0.0001,5.325976962922141e-05,1581,-33.698659819999996,250,355.76,1116
398318,0.5,99554,0.0001,7.13202462065965e-05,1585,-33.70110302,251,355.76,1120
399758,0.5,99914,0.0001,4.5854441850678995e-05,1590,-33.691513570000005,251,355.76,1124
401198,0.5,100274,0.0001,1.6858504750416614e-05,1594,-33.689748439999995,251,355.76,1128
402633,0.5,100633,0.0001,6.296295759966597e-05,1599,-33.65435526,251,355.71,1132
404073,0.5,100993,0.0001,1.9944049199693836e-05,1603,-33.841421249999996,251,356.72,1136
405513,0.5,101353,0.0001,5.879248055862263e-05,1608,-33.843257429999994,252,356.72,1140
406953,0.5,101713,0.0001,4.1283063183072954e-05,1614,-33.82994314,252,356.72,1144
408393,0.5,102073,0.0001,1.639650872675702e-05,1621,-33.8932461,251,357.13,1148
409833,0.5,102433,0.0001,3.262318568886258e-05,1627,-33.868759759999996,251,357.13,1152
411273,0.5,102793,0.0001,4.76262612210121e-05,1633,-33.86943769,251,357.13,1156
412713,0.5,103153,0.0001,0.00011289204121567309,1639,-33.90449807,251,357.13,1160
414153,0.5,103513,0.0001,3.353198553668335e-05,1645,-33.90610233,251,357.13,1164
415593,0.5,103873,0.0001,0.015180597081780434,1650,-33.90402101000001,251,357.13,1168
417033,0.5,104233,0.0001,6.30370486760512e-05,1656,-33.909174480000004,251,357.13,1172
418473,0.5,104593,0.0001,7.456632738467306e-05,1662,-33.975425290000004,251,357.13,1176
419913,0.5,104953,0.0001,4.36264272138942e-05,1667,-34.22960958,251,359.95,1180
421330,0.5,105307,0.0001,6.375828525051475e-05,1672,-34.18961491000001,251,359.72,1184
422770,0.5,105667,0.0001,3.716830178746022e-05,1677,-34.19997503,251,359.72,1188
423988,0.5,105971,0.0001,3.1309744372265413e-05,1682,-33.967388510000006,252,357.5,1192
